content,offset,samples,alpha,beta,gamma,delta,theta
3a9ce331f6091447dddbb80635d2aee518f64070.webm,18000,21,1.226847158,0.728842646,1.049533297,0.63779455,1.15864811
3a9ce331f6091447dddbb80635d2aee518f64070.webm,19000,24,0.938004825,0.813953637,0.596171134,1.397244043,0.765869379
3a9ce331f6091447dddbb80635d2aee518f64070.webm,20000,20,0.590113249,0.807764842,0.523738773,0.411647927,0.323973099
3a9ce331f6091447dddbb80635d2aee518f64070.webm,21000,22,0.543191674,0.729658155,0.678106948,-0.004506389,0.470475033
3a9ce331f6091447dddbb80635d2aee518f64070.webm,22000,22,0.721117493,0.800309875,0.939871423,0.40608314,0.686444499
3a9ce331f6091447dddbb80635d2aee518f64070.webm,23000,22,0.409634818,0.450090176,0.656691401,0.333774291,0.407714769
3a9ce331f6091447dddbb80635d2aee518f64070.webm,24000,24,0.683629727,0.67536618,0.482900341,0.491113252,0.583052318
3a9ce331f6091447dddbb80635d2aee518f64070.webm,25000,24,0.654249812,0.964641998,0.882042553,0.252955332,0.309725199
3a9ce331f6091447dddbb80635d2aee518f64070.webm,26000,25,0.503716902,0.885012712,0.848257429,0.763273997,0.385950508
3a9ce331f6091447dddbb80635d2aee518f64070.webm,27000,20,0.592595408,0.578574695,0.520344817,0.257714676,0.180486314
3a9ce331f6091447dddbb80635d2aee518f64070.webm,28000,22,0.528276846,0.629653538,0.516878667,0.14923414,0.603169028
3a9ce331f6091447dddbb80635d2aee518f64070.webm,29000,15,0.409534811,0.51703075,0.292362518,0.034327831,0.351010965
3a9ce331f6091447dddbb80635d2aee518f64070.webm,30000,4,0.282366702,0.336754439,0.304785757,-0.179890649,0.356372472
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,0,19,0.96300805,0.774490815,0.82569081,0.887363677,0.791617731
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,1000,23,0.6777188,1.088157493,0.658898346,0.65179148,0.53423181
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,2000,22,0.579421945,0.666354872,0.682065586,0.562556004,0.47168712
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,3000,22,0.468665864,0.35124204,0.262732904,0.637595059,0.778571131
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,4000,22,0.55703599,0.727930723,0.532291905,0.562350116,0.495128611
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,5000,17,1.075697797,0.729078048,1.209933118,0.73689979,0.902566511
f2779b038a8bdba035f67538f20aec79ceeb5322.webm,6000,3,2.515288529,1.790169346,2.470907405,1.61686443,2.425398717
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,0,22,0.632437132,0.90166391,0.837226978,1.523408749,1.228570879
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,1000,23,0.544783514,0.558809201,0.283835103,0.457938198,0.394489109
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,2000,22,0.797645256,0.522612303,0.663773439,0.161436938,0.398899177
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,3000,18,0.726530116,0.530184582,0.672507004,0.312669397,0.213183422
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,4000,23,0.821884263,1.183435735,1.084939983,0.050947839,0.428765883
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,5000,24,0.41503125,0.530659082,0.626401416,0.148100953,0.158534424
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,6000,22,0.376359559,0.654008822,0.520592105,0.095631951,0.189368774
a0a7703c08ed86b4e1110a4805d0e1519e1d8b98.webm,7000,22,0.915752096,0.79003185,0.801181225,0.952404168,1.027258925
